10000	0	0	2
20000	0	0	2
30000	0	0	6
30000	0	0	13
40000	0	0	13
50000	0	0	17
60000	0	0	23
70000	0	0	23
80000	0	0	23
90000	0	0	23
100000	0	0	23
110000	0	0	23
120000	0	0	23
130000	0	0	23
140000	0	0	23
150000	0	0	23
160000	0	0	23
170000	0	0	23
180000	0	0	23
190000	0	0	23
200000	0	0	23
210000	0	0	23
220000	0	0	23
230000	0	0	23
240000	0	0	23
250000	0	0	23
260000	0	0	23
270000	0	0	23
280000	0	0	23
290000	0	0	23
300000	0	0	23
310000	0	0	23
320000	0	0	23
330000	0	0	23
340000	0	0	23
350000	0	0	23
360000	0	0	23
370000	0	0	23
380000	0	0	23
390000	0	0	23
400000	0	0	23
410000	0	0	23
420000	0	0	23
430000	0	0	23
440000	0	0	23
450000	0	0	23
460000	0	0	28
470000	0	0	28
480000	0	0	28
490000	0	0	28
500000	0	0	28
